year,regime_label,count,share
2022,Liberal Democracy,37,0.20670391061452514
2023,Closed Autocracy,33,0.18435754189944134
2023,Electoral Autocracy,56,0.3128491620111732
2023,Electoral Democracy,56,0.3128491620111732
2023,Liberal Democracy,34,0.18994413407821228
2024,Closed Autocracy,34,0.18994413407821228
2024,Electoral Autocracy,59,0.329608938547486
2024,Electoral Democracy,56,0.3128491620111732
2024,Liberal Democracy,30,0.16759776536312848
2025,Closed Autocracy,35,0.19553072625698323
2025,Electoral Autocracy,57,0.31843575418994413
2025,Electoral Democracy,56,0.3128491620111732
2025,Liberal Democracy,31,0.17318435754189945
